-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                execute_new_32_cached_1         0.00%       0.000us         0.00%       0.000us       0.000us       13.860s       126.04%       13.860s        3.465s             4  
                                execute_new_0_cached_64         0.00%       0.000us         0.00%       0.000us       0.000us       12.998s       118.20%       12.998s      35.320ms           368  
                               execute_new_31_cached_33         0.00%       0.000us         0.00%       0.000us       0.000us        3.132s        28.48%        3.132s     783.025ms             4  
                                 execute_new_1_cached_0         0.00%       0.000us         0.00%       0.000us       0.000us        3.075s        27.97%        3.075s     768.868ms             4  
void flash::flash_sparse_prefill_fwd_kernel<Flash_fw...         0.00%       0.000us         0.00%       0.000us       0.000us        2.013s        18.31%        2.013s      15.607ms           129  
## Call CompiledFxGraph fo7bxvmnxxwj3fc5g6y3zd3vfpxq...         0.00%       0.000us         0.00%       0.000us       0.000us        1.336s        12.15%        1.336s      31.819ms            42  
## Call CompiledFxGraph fhlosroxjw24xrzmfmlqj45knjg2...         0.00%       0.000us         0.00%       0.000us       0.000us        1.251s        11.38%        1.251s      31.280ms            40  
                                vllm::fl_dsv4_attention         1.23%     147.733ms        14.38%        1.730s      13.408ms        1.128s        10.26%        1.750s      13.564ms           129  
pcclKernel_AllReduce_RING_LL_Sum___ppu_bfloat16(nccl...         0.00%       0.000us         0.00%       0.000us       0.000us     860.600ms         7.83%     860.600ms       3.297ms           261  
                               int8_gemm_ops::int8_gemm         0.53%      64.062ms         4.07%     490.161ms     692.317us     775.506ms         7.05%     802.958ms       1.134ms           708  
                hc_prenorm_gemm_block_m_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     703.442ms         6.40%     703.442ms       2.727ms           258  
                                       vllm::all_reduce         0.22%      25.882ms         0.30%      36.098ms     138.307us     689.323ms         6.27%     689.323ms       2.641ms           261  
_ZN7cutlass6KernelIN9deep_gemm10GemmKernelIN3aiu4gem...         0.00%       0.000us         0.00%       0.000us       0.000us     637.752ms         5.80%     637.752ms     156.120us          4085  
                                           empty_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     575.213ms         5.23%     575.213ms       1.935us        297343  
                            vllm::fl_mhc_fused_post_pre         0.40%      47.956ms         1.42%     171.379ms     672.075us     523.201ms         4.76%     535.599ms       2.100ms           255  
void deep_gemm::batched_gemvt_kernel_small_k<signed ...         0.00%       0.000us         0.00%       0.000us       0.000us     511.164ms         4.65%     511.164ms     123.829us          4128  
void flash::flash_sparse_decode_fwd_kernel<Flash_fwd...         0.00%       0.000us         0.00%       0.000us       0.000us     459.084ms         4.17%     459.084ms     108.943us          4214  
