Prefill,Decode,Conc,Num Prompts,Successful Requests,Run Status,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1024,1024,64,256,256.0,SUCCESS,155.29,262144.0,262144.0,1.65,1688.1,2180.0,3376.2,4607.58,4839.8,7671.98,33.43,34.39,37.15,33.43,31.99,38.93
1024,1024,64,256,256.0,SUCCESS,152.4,262144.0,262144.0,1.68,1720.07,2213.0,3440.14,3970.43,2981.39,5503.85,33.35,34.17,36.78,33.35,32.03,38.94
1024,1024,64,256,256.0,SUCCESS,152.52,262144.0,262144.0,1.68,1718.72,2202.0,3437.45,3972.35,3009.68,5529.72,33.38,34.09,36.77,33.38,32.09,39.01
1024,1024,64,256,256.0,SUCCESS,152.36,262144.0,262144.0,1.68,1720.55,2200.0,3441.1,3949.39,2915.18,5435.24,33.36,34.24,36.73,33.36,32.06,39.09
4096,1024,64,256,256.0,SUCCESS,225.66,1048576.0,262144.0,1.13,1161.7,2112.0,5808.51,12472.85,14063.63,23455.99,42.92,41.58,54.4,42.92,32.36,39.8
4096,1024,64,256,256.0,SUCCESS,225.79,1048576.0,262144.0,1.13,1161.03,2112.0,5805.16,9712.88,9545.03,23195.53,45.65,46.21,54.22,45.65,32.39,39.74
4096,1024,64,256,256.0,SUCCESS,225.74,1048576.0,262144.0,1.13,1161.24,2112.0,5806.2,10320.79,11160.46,23121.11,45.05,44.06,54.41,45.05,32.54,40.08
4096,1024,64,256,256.0,SUCCESS,225.62,1048576.0,262144.0,1.13,1161.89,2112.0,5809.43,10257.76,11148.33,23169.43,45.08,43.98,54.47,45.08,32.52,39.93
16384,1024,64,256,256.0,SUCCESS,545.61,4194304.0,262144.0,0.47,480.46,1984.0,8167.78,24878.6,15714.57,99456.92,108.92,117.81,131.21,108.92,34.62,3141.94
16384,1024,64,256,256.0,SUCCESS,545.73,4194304.0,262144.0,0.47,480.35,1984.0,8166.02,25781.87,18843.08,99094.13,108.07,116.3,131.24,108.07,34.79,3142.07
16384,1024,64,256,256.0,SUCCESS,545.55,4194304.0,262144.0,0.47,480.52,1984.0,8168.77,25446.08,15715.03,99102.68,108.35,117.92,131.24,108.35,34.7,3142.15
16384,1024,64,256,256.0,SUCCESS,544.92,4194304.0,262144.0,0.47,481.07,2002.0,8178.11,24960.14,15715.84,99189.51,108.68,117.61,131.26,108.68,34.46,3142.13
